Porta 1,11-05-2020,18:33
Porta 2,11-05-2020,18:33
Porta 2,11-05-2020,18:35
Porta 1,11-05-2020,18:35
Porta 1,12-05-2020,10:49
Porta 2,12-05-2020,10:49
Porta 1,12-05-2020,10:49
Porta 1,12-05-2020,11:06
Porta 1,12-05-2020,11:55
Porta 2,12-05-2020,11:55
Porta 1,12-05-2020,11:57
Porta 2,12-05-2020,11:58
Porta 2,12-05-2020,11:58
Porta 1,12-05-2020,11:58
Porta 1,12-05-2020,12:01
Porta 2,12-05-2020,12:01
Porta 1,12-05-2020,12:01
Porta 1,12-05-2020,12:10
Porta 2,12-05-2020,12:10
Porta 1,12-05-2020,12:10
Porta 2,12-05-2020,12:10
Porta 2, Porta 4,12-05-2020,13:58
Porta 1 Porta 3,12-05-2020,13:58
Porta 1 Porta 3,13-05-2020,09:39
Porta 1 Porta 3,13-05-2020,10:12
Porta 1 Porta 3,13-05-2020,10:13
Porta 1 Porta 3,13-05-2020,10:44
Porta 1 Porta 3,13-05-2020,10:51
Porta 1 Porta 3,13-05-2020,11:55
Porta 1 Porta 3,14-05-2020,11:02
Porta 1 Porta 3,14-05-2020,11:03
Porta 1 Porta 3,14-05-2020,11:07
Porta 1 Porta 3,14-05-2020,11:10
Porta 1 Porta 3,14-05-2020,12:18
Porta 1 Porta 3,14-05-2020,13:32
Porta 1 Porta 3,14-05-2020,13:38
Porta 1, Porta 2, Porta 3 Porta 4,15-05-2020,08:51
Porta 1, Porta 2, Porta 3 Porta 4,15-05-2020,08:51
Porta 1, Porta 2, Porta 3 Porta 4,15-05-2020,08:57
Porta 1, Porta 2, Porta 3 Porta 4,15-05-2020,09:31
 Alarme Acionado nas Portas ,15-05-2020,14:49
 Alarme Acionado nas Janelas ,15-05-2020,14:49
 Alarme Acionado nas Janelas ,15-05-2020,14:52
 Alarme Acionado nas Portas ,15-05-2020,14:53
 Alarme Acionado nas Portas ,15-05-2020,15:01
 Alarme Acionado nas Janelas ,15-05-2020,15:01
 Alarme Acionado nas Portas ,15-05-2020,15:08
 Alarme Acionado nas Janelas ,15-05-2020,15:08
 Alarme Acionado nas Portas ,15-05-2020,15:22
 Alarme Acionado nas Janelas ,15-05-2020,15:22
 Alarme Acionado nas Janelas ,15-05-2020,15:23
 Alarme Acionado nas Portas ,15-05-2020,15:23
